Feature,Importance
VAR_1,1.0417376
VAR_9,0.4389511
VAR_20,0.42947313
VAR_17,-0.27579913
VAR_60,-0.23106204
VAR_2,-0.19079204
VAR_44,-0.17049253
VAR_32,-0.16261679
VAR_65,-0.13003172
VAR_76,-0.120428905
VAR_15,0.1048973
VAR_33,-0.08479575
VAR_5,-0.08186434
VAR_19,-0.073363654
VAR_54,-0.062124297
VAR_45,0.06056802
VAR_53,0.05828502
VAR_34,0.05679599
VAR_6,-0.056135517
VAR_25,-0.051507067
VAR_52,-0.043559637
VAR_38,0.041274592
VAR_11,-0.03901913
VAR_59,0.03838265
VAR_8,-0.03563061
VAR_4,-0.034758165
VAR_3,-0.032083888
VAR_24,0.025892822
VAR_64,0.02562888
VAR_30,0.018890861
VAR_7,-0.01310005
VAR_13,0.0128628565
VAR_72,0.010112873
VAR_35,-0.0041938974
