,Variável,Volumetria,Total nulos,perc_nulos
VAR_13,VAR_13,6568,3180,48.416565164433614
VAR_39,VAR_39,6568,3180,48.416565164433614
VAR_45,VAR_45,6568,3180,48.416565164433614
VAR_52,VAR_52,6568,3157,48.06638246041413
VAR_15,VAR_15,6568,3157,48.06638246041413
VAR_35,VAR_35,6568,3023,46.026187576126674
VAR_11,VAR_11,6568,3023,46.026187576126674
VAR_34,VAR_34,6568,2905,44.229598051157126
VAR_8,VAR_8,6568,2905,44.229598051157126
VAR_59,VAR_59,6568,2790,42.478684531059685
VAR_76,VAR_76,6568,2790,42.478684531059685
VAR_38,VAR_38,6568,2731,41.58038976857491
VAR_7,VAR_7,6568,2731,41.58038976857491
VAR_17,VAR_17,6568,2708,41.230207064555415
VAR_5,VAR_5,6568,2475,37.682704019488426
VAR_24,VAR_24,6568,2475,37.682704019488426
VAR_58,VAR_58,6568,2475,37.682704019488426
VAR_65,VAR_65,6568,1330,20.249695493300855
VAR_54,VAR_54,6568,1015,15.453714981729599
VAR_53,VAR_53,6568,406,6.181485992691839
VAR_1,VAR_1,6568,243,3.6997563946406817
VAR_3,VAR_3,6568,243,3.6997563946406817
VAR_4,VAR_4,6568,243,3.6997563946406817
VAR_2,VAR_2,6568,243,3.6997563946406817
VAR_6,VAR_6,6568,51,0.7764920828258222
VAR_72,VAR_72,6568,51,0.7764920828258222
VAR_25,VAR_25,6568,32,0.48721071863580995
VAR_28,VAR_28,6568,32,0.48721071863580995
VAR_30,VAR_30,6568,32,0.48721071863580995
VAR_19,VAR_19,6568,32,0.48721071863580995
VAR_44,VAR_44,6568,32,0.48721071863580995
VAR_40,VAR_40,6568,32,0.48721071863580995
VAR_22,VAR_22,6568,32,0.48721071863580995
VAR_33,VAR_33,6568,32,0.48721071863580995
