id,safra,y,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20,VAR_21,VAR_22,VAR_23,VAR_24,VAR_25,VAR_26,VAR_27,VAR_28,VAR_29,VAR_30,VAR_31,VAR_32,VAR_33,VAR_34,VAR_35,VAR_36,VAR_37,VAR_38,VAR_39,VAR_40,VAR_41,VAR_42,VAR_43,VAR_44,VAR_45,VAR_46,VAR_47,VAR_48,VAR_49,VAR_50,VAR_51,VAR_52,VAR_53,VAR_54,VAR_55,VAR_56,VAR_57,VAR_58,VAR_59,VAR_60,VAR_61,VAR_62,VAR_63,VAR_64,VAR_65,VAR_66,VAR_67,VAR_68,VAR_69,VAR_70,VAR_71,VAR_72,VAR_73,VAR_74,VAR_75,VAR_76,VAR_77,VAR_78
4,201412,0,0.0,0.0,0.0,0.0,10.58,3796.0,,,3000.0,119.0,,,,1609.0,,36.0,1500.0,17.0,11.0,12,255.0,14.0,29.99,74.06,0.0,1238.0,,0.0,5.0,3000.0,12.0,0.133832912727673,3.0,,,0.0,-1.0,,,5.0,,7.0,,6.0,,7.0,0.0,,,,594.0,,3000.0,7000.0,287.31,,76,49.0,,0.721630021341369,5.75,,287.31,0,,4.0,-133.0,,119.96,23.0,0.0,417.0,0.0,0.0,,,0.0,0.0
13,201411,1,0.0,0.0,0.0,0.0,165.43,489.0,31.83,,1000.0,,,,,,83.72,,,,0.0,12,,0.0,,613.2,0.0,,,0.0,,1000.0,,0.090634138151029,0.0,,,,,222.81,,0.0,,,,0.0,,,,,,,,360.78,,1000.0,,,45,538.0,,-0.0304781166421273,,,,1,,,,,,,,169.0,,,,,,
15,201412,0,110.0,1.0,1.0,1.0,50.99,1228.0,,,500.0,345.0,,628.0,,,,,,,0.0,6,,0.0,64.06,152.98,3.0,,267.0,4.0,,500.0,,0.133832912727673,0.0,,,,,,,8.0,,,27.0,10.0,,,,,,,,,,500.0,,,41,152.0,244.21,-0.133343746407103,,,,0,,8.0,,,512.48,,,438.0,,,,397.75,166.53,
17,201412,0,117.0,1.0,1.0,2.0,70.84,1100.0,78.81,,2500.0,558.0,,244.0,40.08,315.0,,,,,0.0,12,,0.0,115.24,408.43,0.0,15.0,748.0,0.0,2.0,5000.0,,0.133832912727673,0.0,,,15.3,1.0,300.46,208.0,6.0,0.0,2.0,5.0,12.0,320.64,2.0,,-1.0,0.0,254.79,315.0,,1500.0,2500.0,254.79,254.79,66,285.0,484.46,0.534878115446101,5.1,,254.79,0,,13.0,-22.0,-2.0,558.94,,0.0,223.0,0.0,0.0,764.37,580.29,0.0,0.0
20,201411,0,0.0,0.0,0.0,0.0,,1466.0,,,2000.0,557.0,,89.0,,587.0,,42.0,3300.0,17.0,0.0,12,163.0,1.0,124.98,,6.0,224.0,,7.0,5.0,2000.0,14.0,0.133832912727673,1.0,,,0.0,5.0,,,4.0,0.0,5.0,3.0,6.0,,5.0,0.0,5.0,0.0,223.4,160.0,,2100.0,4100.0,236.98,223.4,54,,,0.219380082347677,9.48,836.0,236.98,0,,10.0,-78.0,5.0,558.05,14.22,0.0,901.0,0.0,0.0,223.4,,0.0,0.0
31,201412,0,63.0,0.0,5.0,5.0,167.26,2521.0,,21.77,500.0,743.0,99.43,283.0,25.98,1066.0,,240.0,,105.0,28.0,7,1749.0,34.0,160.72,814.34,7.0,682.0,940.0,10.0,,1000.0,72.0,0.133832912727673,6.0,107.45,429.89,,,,104.0,10.0,,,13.0,12.0,105.95,16.0,399.86,,,,1066.0,,838.0,1338.0,,,35,806.0,421.23,-0.30845333657335,,1672.0,,0,621.65,34.0,,,749.77,,0.0,-12.0,0.0,0.0,,1360.05,0.0,0.0
32,201411,0,9.0,0.0,0.0,0.0,82.39,3758.0,,29.99,600.0,292.0,29.99,467.0,,701.0,36.36,135.0,600.0,173.0,66.0,12,2269.0,76.0,93.74,132.39,11.0,400.0,1009.0,11.0,,600.0,0.0,0.133832912727673,10.0,29.99,59.99,,,,,12.0,,-2.0,22.0,12.0,,26.0,0.0,,,,701.0,290.88,,1545.89,,,32,131.0,407.0,-0.354107585360257,,2090.0,,0,1921.85,16.0,-63.0,,344.42,0.0,0.0,35.0,0.0,1.0,,868.07,48.49,1.0
36,201411,1,49.0,0.0,0.0,1.0,55.01,612.0,68.48,133.8,1600.0,,,,68.57,394.0,,,4600.0,,0.0,12,,0.0,,385.1,0.0,27.0,,0.0,38.0,4200.0,,0.133832912727673,0.0,646.72,,15.44,22.0,273.93,480.0,0.0,11.58,38.0,,0.0,480.0,38.0,,22.0,11.58,192.78,394.0,,2000.0,1600.0,192.78,192.78,41,385.0,155.53,-0.133343746407103,7.72,,192.78,1,829.16,,,22.0,,,3.0,-58.0,3.0,3.0,578.34,233.27,,3.0
47,201411,0,0.0,0.0,0.0,0.0,,254.0,,,600.0,,,,,,143.67,,1000.0,,0.0,8,,0.0,,,0.0,,,0.0,,600.0,,0.0571981886428283,0.0,,,,,,,0.0,,,,0.0,,,,,,,,1085.23,,600.0,,,64,,,0.534878115446101,,,,1,2510.37,,,,,,,254.0,,,,,,
48,201412,0,0.0,0.0,0.0,0.0,15.15,310.0,,,1200.0,,,,,95.0,,,3000.0,,0.0,12,,0.0,,106.05,0.0,63.0,,0.0,1.0,1200.0,,0.090634138151029,0.0,,,,1.0,,,0.0,,1.0,,0.0,,1.0,,1.0,6.47,,95.0,,,3000.0,,323.62,57,69.0,,0.319424920164188,,,,1,,,-90.0,,,,0.0,310.0,0.0,0.0,,,,0.0
