id,safra,y,VAR_1,VAR_72,VAR_53,VAR_65,VAR_6,VAR_17,VAR_30,VAR_57,VAR_9,VAR_54,VAR_59,VAR_76,VAR_7,VAR_11,VAR_5,VAR_34,VAR_38,VAR_15,VAR_35,VAR_8,VAR_13,VAR_52,VAR_24,VAR_45,VAR_58,VAR_39,VAR_20,VAR_40,VAR_44,VAR_25,VAR_60,VAR_2,VAR_28,VAR_19
1,201404,0,0.0,151.0,3380.0,1303.79,3277.0,3000.0,500.0,45,500.0,500.0,95.54,173.06,51.98,,124.54,,220.84,26.98,,,73.26,53.97,492.84,512.82,369.0,348.0,8,9.0,11.0,12.0,-0.0304781166421273,0.0,12.0,45.0
2,201407,0,64.0,187.0,1000.0,1486.26,2443.0,,1000.0,60,1000.0,2000.0,97.73,184.69,84.72,,47.92,,338.9,,,,38.53,,335.44,269.71,228.0,179.0,12,5.0,9.0,9.0,0.357323965312407,0.0,10.0,18.0
3,201405,0,99.0,96.0,1893.35,800.27,1824.0,,1893.35,31,1893.35,1893.35,294.57,732.0,26.63,29.98,80.38,,133.17,73.55,59.97,,,294.2,362.71,,264.0,,12,4.0,12.0,3.0,-0.411786729965823,2.0,5.0,2.0
5,201403,1,0.0,75.0,2946.29,1457.78,437.0,,2000.0,38,2000.0,2946.29,,,40.69,62.78,70.46,10.99,326.89,29.58,313.91,10.99,,147.94,493.22,,332.0,,12,0.0,0.0,0.0,-0.231735369185606,0.0,0.0,0.0
6,201405,0,61.0,5.0,400.0,390.54,140.0,,400.0,33,400.0,800.0,,,39.83,,,145.96,278.81,,,55.31,,,,,,,10,0.0,0.0,0.0,-0.354107585360257,0.0,0.0,0.0
7,201404,0,51.0,8.0,953.42,455.63,218.0,,1953.42,39,953.42,953.42,,,51.48,17.49,,253.62,199.94,,69.98,53.21,,,,,,,5,0.0,0.0,0.0,-0.231735369185606,0.0,0.0,0.0
8,201409,0,0.0,301.0,,,301.0,800.0,955.94,35,800.0,800.0,,,,,,,,26.97,,,,26.97,,,,,9,0.0,0.0,0.0,-0.30845333657335,0.0,0.0,0.0
9,201408,0,16.0,-49.0,2936.72,768.69,858.0,1984.18,2000.0,49,1000.0,1484.18,164.16,137.86,29.7,14.32,65.86,178.71,207.92,,42.96,25.53,,,329.32,,328.0,,12,3.0,4.0,0.0,0.079926420595367,0.0,0.0,0.0
10,201404,0,21.0,42.0,2700.0,1772.41,1716.0,2000.0,1200.0,50,1200.0,2700.0,586.4,993.93,55.17,74.23,65.56,39.98,275.93,73.99,437.63,19.99,78.17,369.96,327.85,390.9,326.0,389.0,12,12.0,12.0,12.0,0.156301087833759,0.0,12.0,7.0
11,201403,0,,1176.0,1000.0,,1913.0,1000.0,1000.0,52,1000.0,3000.0,,,,,,,,,,,,,,,,,12,0.0,0.0,11.0,0.156301087833759,,11.0,12.0
